"gene.symbol","A1","A2","N1","N2","OPC1","OPC2","GC1","GC2","MOG1","MOG2","MGL1","MGL2","Endo1","Endo2","WB1","WB2","WB3"
"Gtf2a1",5.782564,5.920642,4.401432,4.111118,5.893003,2.655902,6.272501,2.745983,2.012224,2.571736,2.386255,1.972491,1.496549,1.524616,5.257308,5.190847,6.838319
"Gtf2a1l",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gtf2a2",17.305401,20.691259,24.71472,23.536836,27.897553,28.737726,19.659625,24.082996,15.032833,15.355075,14.779857,10.541678,35.921839,40.790778,21.747693,18.794857,20.417483
"Gtf2b",8.503553,9.150027,11.884701,14.425379,12.385018,13.593651,16.03412,16.414154,17.29477,15.956596,10.079418,8.017182,21.918788,23.859484,11.694482,9.557913,11.64442
"Gtf2e1",5.151618,5.161181,2.630394,2.735109,6.885029,9.536393,7.160165,6.544784,4.737622,5.469282,2.011551,2.050349,2.373391,2.364729,5.931447,5.875094,6.391813
"Gtf2e2",7.404058,8.701123,5.884529,6.882201,10.292346,10.432822,6.770134,5.957299,3.047955,3.617932,6.009641,3.604681,18.884795,21.003846,10.065951,9.087198,10.88399
"Gtf2f1",16.361373,16.451116,8.399407,25.317355,16.736771,21.084435,19.623139,23.260383,16.02802,17.677789,18.112884,14.479806,16.752278,14.661569,24.33935,19.32071,22.547735
"Gtf2f2",5.639651,6.706671,6.340395,8.452016,10.24388,16.007617,16.260974,18.074272,7.639549,8.086714,7.323579,6.43037,12.827302,13.794645,8.205732,8.524608,8.944944
"Gtf2h1",13.106189,13.641584,9.287365,13.545159,13.755457,11.82092,28.372225,25.814305,4.475475,6.49757,7.770357,4.243736,15.120829,15.878556,11.737498,10.095056,11.053095
"Gtf2h2",8.288731,7.453879,4.661597,5.659172,13.271501,10.366951,5.736737,5.688809,2.696891,3.428325,18.014578,13.742837,13.497201,15.601346,6.8015,7.502374,7.891063
"Gtf2h3",5.547828,4.627201,2.532646,2.062269,6.669186,6.919397,6.26115,4.805274,2.765323,3.392605,1.455567,1.547649,3.789775,3.872407,4.720582,3.875667,5.12549
"Gtf2h4",3.957599,3.858302,2.619594,2.569356,4.538405,5.310218,2.997764,2.809166,1.9558,1.908027,4.41489,4.48076,3.565986,3.882702,3.834126,3.562123,3.953119
"Gtf2h5",16.135367,16.743,39.239985,37.513254,29.160328,40.914854,36.38948,42.493028,38.410415,41.245313,13.912622,15.789747,31.049685,39.918651,46.231269,47.583644,43.180045
"Gtf2i",56.974967,58.758452,41.946055,49.510935,61.070204,71.397037,65.242098,73.29263,38.336674,37.378817,32.537131,40.214625,57.897824,56.012841,43.965627,47.865058,45.023443
"Gtf2ird1",7.803768,6.84534,9.309743,8.031186,5.961652,6.559732,3.740922,5.27757,1.332737,1.683827,3.771349,3.386607,9.454253,8.474567,6.651735,5.237184,5.976849
"Gtf2ird2",1.514374,1.864617,2.729612,3.393656,1.454051,1.819682,0.804609,1.006666,0.714879,0.64596,2.220463,2.766865,0.704212,0.888059,1.588525,1.524514,1.497681
"Gtf3a",4.953933,4.87673,7.275452,6.247908,11.116248,16.510739,10.292563,14.179007,13.225116,11.013707,9.011256,16.503305,11.906013,14.146014,11.237668,14.128658,12.022735
"Gtf3c1",14.237837,13.141447,9.564572,13.518744,12.92011,18.130919,12.211211,14.925341,10.698542,10.440718,7.180044,7.444154,9.809875,9.799392,13.153701,13.110667,12.3667
"Gtf3c2",21.411298,20.780669,15.458854,14.949026,20.202795,22.787683,16.506447,17.53327,8.469487,9.705117,16.691891,14.955206,13.36904,13.631115,15.886441,15.304437,15.809513
"Gtf3c3",5.80175,5.207877,2.143301,5.040056,4.716488,3.831794,3.49772,3.325775,0.968707,1.698615,0.735356,0.494803,4.550427,4.526728,4.189427,3.67739,4.313562
"Gtf3c4",6.155096,6.025896,6.403165,8.523565,7.747495,12.146818,5.564515,11.452514,2.384762,3.613995,8.931514,7.779515,3.723463,3.694991,7.491968,7.240284,7.656808
"Gtf3c5",9.188642,8.8334,5.730918,7.439594,7.251463,10.755615,6.288614,7.738469,6.158282,6.43636,5.513538,5.49259,8.05722,9.169152,7.039771,6.596923,7.018053
"Gtf3c6",8.035877,7.232138,8.004989,10.084999,15.382604,14.399455,12.781845,10.062439,9.579144,9.578942,4.085667,2.764499,8.337092,9.378699,11.425874,10.912905,11.876106
"Gtl3",18.760551,20.342761,33.571256,42.95802,46.255818,72.457563,12.495881,21.779355,5.59948,8.707817,14.212081,16.512735,31.757436,34.301811,21.587213,17.404118,20.662527
"Gtpbp1",9.793166,11.207899,17.342644,16.141507,12.621804,19.627179,6.508022,10.864982,2.628128,3.978679,24.912539,32.000677,10.000322,10.658292,15.388411,14.162018,14.842565
"Gtpbp10",2.208428,2.444492,1.381201,1.255976,1.865772,0.843074,0.953069,0.563381,0.373434,0.429907,0.336278,0.1,1.588422,1.767506,1.656481,1.593249,1.597989
"Gtpbp2",17.74685,15.929147,16.075174,15.003711,16.999922,16.451652,11.863937,12.182218,9.11959,11.256303,16.140733,16.41578,17.147841,18.028419,15.827886,14.579705,16.648373
"Gtpbp3",2.756145,2.97363,3.688331,2.859146,3.092605,3.698571,3.586779,3.862433,3.272822,2.940609,4.181769,6.072243,4.387914,4.60861,3.618036,3.718193,3.858041
"Gtpbp4",9.718402,9.08189,3.864218,8.845005,7.721439,6.188413,6.420086,6.07567,2.149273,3.022104,7.236886,3.358667,13.352856,13.122148,9.181393,8.200401,9.568189
"Gtpbp5",4.569114,4.403846,3.978795,3.8165,5.88724,8.892443,4.531644,5.88187,3.818723,3.779027,4.564569,7.745288,5.011737,5.467198,4.119742,4.390213,4.727238
"Gtpbp6",7.200103,6.647938,13.803727,13.307525,5.061209,8.49214,6.867827,9.960203,8.641504,11.303539,10.741192,13.436827,10.745007,10.89823,12.981508,14.733643,13.057682
"Gtpbp8",5.555813,4.426317,4.392882,3.900715,5.099488,3.897326,3.016648,2.349701,2.373217,1.496051,0.963514,0.589543,1.969195,2.767537,4.165581,4.415206,4.181101
"Gtse1",1.05099,1.457136,2.254643,2.512225,2.482353,2.336957,0.41873,0.452762,0.1,0.1,0.492272,0.1,0.612712,0.611306,1.350175,1.665278,1.784751
"Gtsf1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gtsf1l",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Guca1a",0.1,0.1,0.1,0.1,0.385613,0.380318,0.1,0.1,0.103352,0.1,2.915672,2.89651,0.239822,0.130663,0.363831,0.402865,0.19101
"Guca1b",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.125213,0.1,0.1
"Guca2a",0.1,0.123675,0.1,0.126569,0.121402,0.185171,0.1,0.1,0.1,0.1,0.190604,0.1,0.1,0.1,0.1,0.1,0.1
"Guca2b",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gucy1a2",0.6732,0.922425,7.971406,4.01286,2.386825,1.071952,0.725887,0.25801,0.1,0.1,0.1,0.1,0.277047,0.51303,1.305651,1.228205,1.337796
"Gucy1a3",7.764708,7.141979,13.854222,17.781387,11.828996,10.357202,4.73298,3.515669,1.328175,1.916281,0.150657,0.267801,2.794176,3.739118,17.801575,17.394316,19.14726
"Gucy1b2",0.117166,0.233959,0.1,0.161119,0.894761,0.784874,0.440268,0.75648,0.1,0.1,0.1,0.1,0.1,0.1,0.41091,0.256396,0.459461
"Gucy1b3",13.749636,12.902737,15.194993,27.845289,14.20576,11.348935,8.507115,6.710885,3.32385,4.138633,0.401262,0.85536,7.515936,9.85391,28.596362,27.649653,29.47249
"Gucy2c",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gucy2d",0.1,0.1,0.1,0.109465,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gucy2e",0.344302,0.142396,0.17445,0.144915,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gucy2f",1.093006,1.588163,0.127925,0.270209,4.277619,2.029143,0.689083,0.319584,0.1,0.1,0.1,0.1,0.1,0.1,0.592764,0.546329,0.713064
"Gucy2g",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.134913,0.1,0.1,0.340313,0.417156,0.322543
"Guf1",13.439454,11.805701,7.945132,7.047882,11.512,4.824232,5.470809,2.562618,0.87801,1.448025,0.970856,0.450301,5.11918,5.178438,8.415113,7.539037,9.755872
"Guk1",18.180919,16.238828,22.97079,26.38782,17.590633,30.312132,32.512024,49.205116,65.497385,67.679284,13.318214,21.224378,24.488414,30.117939,37.001363,39.290593,32.470468
"Gulo",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gulp1",9.877707,12.686916,1.291337,0.962478,0.762865,0.554436,0.1,0.1,0.1,0.1,0.220231,0.1,6.446418,6.411553,3.388951,3.39194,3.388222
"Gusb",10.315023,10.659538,4.726018,6.588295,16.354559,19.424596,8.217544,10.193336,8.345644,10.337636,112.488899,101.083141,32.289583,32.738357,12.946626,11.932245,13.011503
"Gvin1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.346414,0.1,0.1,0.1
"Gxylt1",7.136599,7.144238,2.661641,3.787773,4.677302,1.632347,5.265034,2.85708,0.830639,1.492469,3.507129,1.031789,4.496561,4.588917,4.668121,4.187791,4.765447
"Gxylt2",0.1,0.1,0.722499,0.461947,0.202046,0.313872,0.1,0.1,0.109372,0.137609,0.1,0.1,0.18053,0.254372,0.675157,0.680292,0.324004
"Gyg",13.826301,14.372251,10.768601,10.841535,27.854658,38.699323,45.229204,49.20384,51.280525,52.258759,11.777045,9.7988,31.324459,30.70262,18.697542,18.980452,18.55766
"Gyk",16.035744,13.547051,3.346533,2.922704,8.408574,4.931295,1.930824,1.517706,0.402975,0.857465,0.825233,0.638902,1.127033,1.174693,4.946067,4.625259,5.193698
"Gykl1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gyltl1b",0.359647,0.411317,0.164665,0.1,0.1,0.1,0.116733,0.209166,0.1,0.1,0.1,0.1,0.1,0.1,0.123823,0.1,0.139234
"Gypa",0.1,0.1,0.213078,0.1,2.006923,0.231266,0.1,0.1,0.1,0.1,0.1,0.1,0.528556,0.247373,0.1,0.1,0.1
"Gypc",0.193804,0.401032,0.205123,0.201933,0.75209,1.324857,0.1,0.1,0.1,0.1,0.507014,0.284883,1.674064,2.187012,1.127622,0.918663,1.513561
"Gys1",12.874837,11.342259,2.568391,2.56162,5.845581,6.858724,2.920479,3.610077,0.681076,1.01062,2.885132,3.031516,1.591918,1.613915,5.22427,5.476607,5.682262
"Gys2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gzf1",7.364723,7.612213,4.591358,6.500769,7.864536,7.190691,4.670988,4.471955,1.340692,2.541171,2.081862,1.134609,5.4164,4.786006,5.8768,5.407979,6.038026
"Gzma",0.1,0.1,0.1,0.1,0.142539,0.191082,0.1,0.1,0.112342,0.1,0.580042,0.240743,0.395628,0.363377,0.103698,0.103924,0.249305
"Gzmb",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.380241,0.192107,0.1,0.1,0.1,0.1,0.1
"Gzmc",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gzmd",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gzme",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gzmf",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gzmg",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Gzmk",0.1,0.1,0.111818,0.131956,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.221888,0.13254,0.319994
"Gzmm",0.116173,0.249283,0.358404,0.344824,0.446404,0.490171,0.253568,0.357273,0.110928,0.144662,0.1,0.221702,0.365924,0.31107,0.211606,0.284878,0.248148
"Gzmn",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H13",23.333862,20.628352,38.396864,38.702539,23.330316,28.550477,19.740113,29.528514,12.699372,15.313456,29.270896,34.563414,25.702477,25.138962,27.20074,22.695656,28.106414
"H19",0.804803,2.506824,0.846057,0.227674,0.275194,0.393229,0.1,0.1,0.1,0.1,0.150451,0.185667,1.024148,1.630067,0.1,0.1,0.1
"H1f0",32.962182,54.54546,53.13839,38.383515,39.023445,45.134559,56.436887,50.393572,85.456795,73.295494,26.698511,22.45034,74.435538,80.415757,46.64594,46.80762,59.217586
"H1fnt",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H1foo",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H1fx",5.849365,12.521993,31.255015,28.889632,14.718751,22.829153,5.799361,7.382851,13.262147,14.434398,2.591308,2.567468,7.534997,9.065616,23.430792,21.965043,23.045356
"H2-Aa",0.195972,0.1,0.103248,0.1,0.764537,0.1,2.153249,1.53238,1.045434,1.077896,31.519374,23.94711,0.676104,0.613212,0.95708,0.796656,1.063633
"H2-Ab1",0.15395,0.336192,0.1,0.1,0.708751,0.634567,18.350216,12.98683,15.936152,9.14151,22.132094,24.494345,0.729533,0.353587,1.103939,1.793627,1.117649
"H2-Bl",0.156271,0.129503,1.783138,0.994457,0.378991,0.11456,0.1,0.1,0.1,0.122494,5.023373,4.820419,1.953176,1.690812,0.693227,0.795672,0.510604
"H2-D1",1.791483,8.008096,8.157374,9.055153,35.577968,26.694272,10.380992,8.519306,3.86674,3.065472,125.334635,174.047841,460.269113,462.785656,15.823637,30.015639,34.515875
"H2-DMa",1.239493,1.21829,3.536909,3.353235,5.107019,9.823111,1.371764,2.855698,1.228855,1.609606,5.000121,7.850263,0.674856,0.875737,3.960852,4.000368,4.219659
"H2-DMb1",0.1,0.1,0.1,0.1,0.401627,0.201353,0.1,0.1,0.1,0.1,7.806731,12.840831,0.119496,0.156366,0.286959,0.118941,0.323134
"H2-DMb2",0.1,0.1,0.16793,0.12305,0.1,0.1,0.1,0.1,0.1,0.1,5.517655,7.460458,0.1,0.1,0.360339,0.31969,0.125749
"H2-Ea-ps",0.1,0.1,0.1,0.1,0.171588,0.1,0.1,0.1,0.1,0.141643,18.778612,12.914485,0.1,0.1,0.299296,0.21423,0.401086
"H2-Eb1",0.1,0.1,0.1,0.1,0.246033,0.465772,0.298702,0.414557,0.176618,0.134773,15.772778,9.741646,0.1,0.20425,0.163704,0.237839,0.190488
"H2-Eb2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14987,0.1,0.1,0.1,0.1,0.1
"H2-Gs10",1.129507,3.344422,0.678017,0.425394,4.730315,1.605938,0.894843,0.458443,0.283318,0.324465,23.856324,23.270558,45.953254,45.19943,6.761376,6.698545,7.672704
"H2-K1",4.465979,13.672731,5.235816,6.13534,14.521686,8.202486,1.997994,2.220424,1.37147,1.292319,221.897114,180.26067,88.981912,94.407354,22.108448,20.237883,24.316163
"H2-K2",0.317004,0.887216,0.134072,0.120364,1.086884,0.106163,0.196221,0.226438,0.113664,0.1,32.615424,26.432869,8.03465,9.152437,1.108691,1.424193,1.359252
"H2-Ke2",9.483625,9.159748,28.024617,23.858651,18.126216,30.75243,19.969422,21.380981,20.693778,19.734083,11.306485,11.184661,10.530999,15.295791,22.674051,19.750886,22.665868
"H2-Ke6",23.884499,24.705453,12.714122,14.733627,20.987838,25.199508,19.375616,35.875106,21.758356,23.582603,34.123126,37.488089,21.2994,25.035256,17.348877,15.57397,16.206817
"H2-M1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M10.1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M10.2",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M10.3",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M10.4",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"H2-M10.5",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
